slug,business_name,business_category,city,address,phone_number,phone_e164,phone_type,website_url,domain,rating,review_count,tier,is_spending_money,spending_evidence,gatc_has_ads,gatc_ad_count,gatc_url,gatc_checked_at,meta_has_ads,meta_ad_count,meta_url,meta_checked_at,has_meta_pixel,has_google_ads_remarketing,has_google_ads_conversion,has_gtm,has_ga4,has_tiktok_pixel,is_prospect,cohort,priority,call_tracking_provider,call_tracking_evidence,form_ga4_event,form_gtm_tag,form_google_ads_conv,form_tel_link,gbp_overall_grade,gbp_overall_score,gbp_completeness_score,gbp_visuals_score,gbp_reviews_score,gbp_categories_attributes_score,gbp_technical_score,gbp_top_fix_1,gbp_top_fix_2,gbp_top_fix_3,gbp_overrides_applied,gbp_notes,pitch_angle
roofer-glasgow-j-shearer-roofing-ltd,J.Shearer Roofing Ltd,roofer,Glasgow,"315 Clarkston Rd, Muirend, Glasgow G44 3EJ, UK",0141 638 6613,+441416386613,geographic,http://www.jshearer-roofing.co.uk/,jshearer-roofing.co.uk,4.9,134,tier1,True,gatc:4,True,4,https://adstransparency.google.com/?region=GB&domain=jshearer-roofing.co.uk,2026-04-14T12:25:21Z,False,0,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=GB&q=J.Shearer%20Roofing%20Ltd&search_type=keyword_unordered,2026-04-14T12:25:21Z,False,False,False,False,True,False,True,C,86,,,False,True,False,True,A,8.52,8.0,10.0,8.67,7.0,10.0,"Write a 600-750 char GBP business description covering services, unique value, and location","Fill service-option attributes (payment, parking, accessibility, amenities)",,,"photo_count_api_capped_at_10;dropped_from_grade: Posts, QA, owner_response, photo_taxonomy, services_list",You're spending on Google Ads but not retargeting Meta traffic — ~70% of clicks never convert first visit
solicitor-edinburgh-stewart-and-co-defence,Stewart and Co Defence,solicitor,edinburgh,"Office 43, 4-5 Lochside Way, Edinburgh EH12 9DT, UK",0131 281 9633,+441312819633,geographic,http://www.stewartandco.co.uk/,stewartandco.co.uk,5,153,tier1,True,meta:86;gac_remarketing_tag,False,0,https://adstransparency.google.com/?region=GB&domain=stewartandco.co.uk,2026-04-14T12:25:21Z,True,86,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=GB&q=Stewart%20and%20Co%20Defence&search_type=keyword_unordered,2026-04-14T12:25:21Z,False,True,False,False,True,False,True,B,82,,,False,True,False,True,A,8.08,9.0,6.0,8.0,8.5,10.0,"Write a 600-750 char GBP business description covering services, unique value, and location","Upload 2+ photos: exterior, 2 interior, team, and 2 service shots",,,"photo_count_api_capped_at_10;dropped_from_grade: Posts, QA, owner_response, photo_taxonomy, services_list",You're running Meta ads but the pixel isn't firing on your site — you're losing the retargeting pool
dentist-edinburgh-abbeymount-dental-care,Abbeymount Dental Care,dentist,edinburgh,"22 Brunton Pl, Edinburgh EH7 5EJ, UK",0131 661 1089,+441316611089,,https://abbeymountdental.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=gmb-homepage,abbeymountdental.com,4.9,253,tier1,True,gac_remarketing_tag,False,0,https://adstransparency.google.com/?region=GB&domain=abbeymountdental.com,2026-04-14T12:25:21Z,False,0,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=GB&q=Abbeymount%20Dental%20Care&search_type=keyword_unordered,2026-04-14T12:25:21Z,True,True,False,True,True,False,False,,0,,,,,,,,,,,,,,,,,,,
mortgage broker-airdrie-shawn-mooney-mortgage-architects,Shawn Mooney | Mortgage Architects,mortgage broker,airdrie,"67 Coopersfield Park SW, Airdrie, AB T4B 4K8, Canada",(403) 828-1838,+4038281838,,http://www.shawnmooney.com/,shawnmooney.com,5,96,tier1,False,,False,0,https://adstransparency.google.com/?region=GB&domain=shawnmooney.com,2026-04-14T12:25:21Z,False,0,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=GB&q=Shawn%20Mooney%20%7C%20Mortgage%20Architects&search_type=keyword_unordered,2026-04-14T12:25:21Z,True,False,False,True,True,False,False,,0,,,,,,,,,,,,,,,,,,,
dentist-ayr-netherfield-dental-practice,Netherfield Dental Practice,dentist,ayr,"55 Main St, Prestwick KA9 1JN, UK",01292 478202,+441292478202,,http://www.netherfield-dental.com/?utm_source=gmb&utm_medium=organic,netherfield-dental.com,4.9,251,tier1,False,,False,0,https://adstransparency.google.com/?region=GB&domain=netherfield-dental.com,2026-04-14T12:25:21Z,False,0,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=GB&q=Netherfield%20Dental%20Practice&search_type=keyword_unordered,2026-04-14T12:25:21Z,False,False,False,True,True,False,False,,0,,,,,,,,,,,,,,,,,,,
vet-dundee-tay-veterinary-centre,Tay Veterinary Centre,vet,dundee,"Finavon St, Dundee DD4 9DU, UK",01382 884411,+441382884411,,https://www.tayvet.co.uk/,tayvet.co.uk,4.4,217,tier1,False,,False,0,https://adstransparency.google.com/?region=GB&domain=tayvet.co.uk,2026-04-14T12:25:21Z,False,0,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=GB&q=Tay%20Veterinary%20Centre&search_type=keyword_unordered,2026-04-14T12:25:21Z,False,False,False,False,True,False,False,,0,,,,,,,,,,,,,,,,,,,
mortgage broker-dunfermline-mortgage-advice-bureau,Mortgage Advice Bureau,mortgage broker,dunfermline,"30 St Leonards St, Dunfermline KY11 3AW, UK",07928 497873,+447928497873,,https://www.mortgageadvicebureau.com/mortgage-advisers/neil-peattie,mortgageadvicebureau.com,4.8,19,tier2,True,gatc:4;meta:19;gac_conv_tag;gac_remarketing_tag,True,4,https://adstransparency.google.com/?region=GB&domain=mortgageadvicebureau.com,2026-04-14T12:25:21Z,True,19,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=GB&q=Mortgage%20Advice%20Bureau&search_type=keyword_unordered,2026-04-14T12:25:21Z,True,True,True,True,True,False,False,,0,,,,,,,,,,,,,,,,,,,
aesthetic clinic-perth-ms-aesthetics-clinic,MS Aesthetics Clinic,aesthetic clinic,perth,"The Cutting Room, 15-19 Cow Vennel, Perth PH2 8PE, UK",07540 780309,+447540780309,mobile,http://www.ms-aesthetics.com/,ms-aesthetics.com,5,29,tier2,True,meta:2,False,0,https://adstransparency.google.com/?region=GB&domain=ms-aesthetics.com,2026-04-14T12:25:21Z,True,2,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=GB&q=MS%20Aesthetics%20Clinic&search_type=keyword_unordered,2026-04-14T12:25:21Z,False,False,False,False,False,False,True,B,54,,,False,False,False,False,A,8.66,9.0,10.0,8.0,8.8,7.0,"Write a 600-750 char GBP business description covering services, unique value, and location",,,,"photo_count_api_capped_at_10;dropped_from_grade: Posts, QA, owner_response, photo_taxonomy, services_list",You're running Meta ads but the pixel isn't firing on your site — you're losing the retargeting pool
mortgage broker-kilmarnock-monarch-financial-services-ltd,Monarch Financial Services Ltd,mortgage broker,kilmarnock,"Bank Chambers, 42 Bank St, Kilmarnock KA1 1HA, UK",0330 122 0997,+443301220997,nongeographic,http://www.monfs.com/,monfs.com,5,172,tier1,True,gac_remarketing_tag,False,0,https://adstransparency.google.com/?region=GB&domain=monfs.com,2026-04-14T12:25:21Z,False,0,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=GB&q=Monarch%20Financial%20Services%20Ltd&search_type=keyword_unordered,2026-04-14T12:25:21Z,False,True,False,False,True,False,True,,22,,,False,True,False,False,C,6.84,8.0,3.0,8.0,5.8,10.0,"Write a 600-750 char GBP business description covering services, unique value, and location","Upload 4+ photos: exterior, 2 interior, team, and 2 service shots","Fill service-option attributes (payment, parking, accessibility, amenities)",,"photo_count_api_capped_at_10;dropped_from_grade: Posts, QA, owner_response, photo_taxonomy, services_list","Google retargeting tag is live, Meta pixel isn't — cross-channel retargeting gap"
optician-aberdeen-vision-express-opticians-at-tesco-aberdeen-danestone,"Vision Express Opticians at Tesco - Aberdeen, Danestone",optician,aberdeen,"Laurel Dr, Danestone, Aberdeen AB22 8HB, UK",01224 087189,+441224087189,,https://www.visionexpress.com/opticians/aberdeen/aberdeen-vision-express-at-tesco?cid=yext_GMB_website_aberdeen_442&utm_campaign=gmb-website&utm_source=google&utm_medium=organic&utm_content=442-Aberdeen-Laurel-Drive&y_source=1_MTA4MTk3NDc2Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,visionexpress.com,4.6,337,tier1,True,gac_conv_tag;gac_remarketing_tag,False,0,https://adstransparency.google.com/?region=GB&domain=visionexpress.com,2026-04-14T12:25:21Z,False,0,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=GB&q=Vision%20Express%20Opticians%20at%20Tesco%20-%20Aberdeen%2C%20Danestone&search_type=keyword_unordered,2026-04-14T12:25:21Z,True,True,True,True,True,True,False,,0,,,,,,,,,,,,,,,,,,,
